Metric,Mean,Std,CI95_Low,CI95_High,Min,Max,N
ssim,0.5982734729008825,0.06782035994331084,0.5840709479151873,0.6124759978865777,0.4562837097532469,0.7488910994016611,91
psnr,12.120519735542553,1.2303528654425817,11.86286676337791,12.378172707707195,10.19118590619202,15.77109021213241,91
seg_dice,0.051398909947291474,0.09882225224321205,0.030704158285695178,0.07209366160888778,0.0,0.48254587715396646,91
seg_iou,0.029388889615522117,0.059559521107575515,0.016916298974991143,0.04186148025605309,0.0,0.3179970121593767,91
recon_dice,0.2307314131995389,0.2614137380707195,0.1740111404520641,0.28745168594701376,0.0,0.7117276388969009,85
recon_hausdorff,247.89650858250494,118.63226254072234,221.6697318827245,274.12328528228534,56.32051136131489,530.1367748043895,82
recon_chamfer,92.87318825327482,102.3804722348577,70.23929654274643,115.5070799638032,2.8635446888684206,425.2780940810145,82
recon_error_px,98.7739264415045,97.04221849128605,77.32019589372356,120.22765698928544,11.864616576987208,424.6951180103106,82
cup_radius_mm,26.543625288575402,18.674254137582107,22.21813625461018,30.869114322540625,1.1779710144927538,49.98793407495471,75
stem_length_mm,61.40462357133721,121.99230387264647,34.435021506625745,88.37422563604868,1.4884062283280968,1082.5309171195654,82
